case_id,ticker,company,likely_outcome_year,current_announcement_date,date_confidence,needs_date_backfill,edgar_company_search_url,edgar_merger_8k_query_url,edgar_sc14d9_query_url,suggested_query_terms,notes
RHC-0061-ACQUIRED-DICE,DICE,"DICE Therapeutics, Inc.",2023,2023-06-20,HIGH,FALSE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=DICE&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22DICE%20Therapeutics%2C%20Inc.%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31","https://efts.sec.gov/LATEST/search-index?q=%22DICE%20Therapeutics%2C%20Inc.%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31","""DICE Therapeutics, Inc."" ""agreement and plan of merger""","Date confirmed (2023-06-20, HIGH). Run filing collector."
RHC-0062-ACQUIRED-HARP,HARP,Harpoon Therapeutics,2023,2024-01-08,HIGH,FALSE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=HARP&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Harpoon%20Therapeutics%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Harpoon%20Therapeutics%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31","""Harpoon Therapeutics"" ""agreement and plan of merger""","Date confirmed (2024-01-08, HIGH). Run filing collector."
RHC-0063-ACQUIRED-ISEE,ISEE,"IVERIC bio, Inc.",2023,2023-05-01,HIGH,FALSE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=ISEE&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22IVERIC%20bio%2C%20Inc.%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31","https://efts.sec.gov/LATEST/search-index?q=%22IVERIC%20bio%2C%20Inc.%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31","""IVERIC bio, Inc."" ""agreement and plan of merger""","Date confirmed (2023-05-01, HIGH). Run filing collector."
RHC-0064-ACQUIRED-RETA,RETA,"Reata Pharmaceuticals, Inc.",2023,2023-07-31,HIGH,FALSE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=RETA&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Reata%20Pharmaceuticals%2C%20Inc.%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Reata%20Pharmaceuticals%2C%20Inc.%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31","""Reata Pharmaceuticals, Inc."" ""agreement and plan of merger""","Date confirmed (2023-07-31, HIGH). Run filing collector."
RHC-0066-ACQUIRED-ZYNE,ZYNE,"Zynerba Pharmaceuticals, Inc.",2023,2023-08-14,HIGH,FALSE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=ZYNE&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Zynerba%20Pharmaceuticals%2C%20Inc.%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Zynerba%20Pharmaceuticals%2C%20Inc.%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2022-01-01&enddt=2024-12-31","""Zynerba Pharmaceuticals, Inc."" ""agreement and plan of merger""","Date confirmed (2023-08-14, HIGH). Run filing collector."
RHC-0067-ACQUIRED-ALPN,ALPN,"Alpine Immune Sciences, Inc.",2024,2024-04-10,HIGH,FALSE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=ALPN&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Alpine%20Immune%20Sciences%2C%20Inc.%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Alpine%20Immune%20Sciences%2C%20Inc.%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","""Alpine Immune Sciences, Inc."" ""agreement and plan of merger""","Date confirmed (2024-04-10, HIGH). Run filing collector."
RHC-0068-ACQUIRED-AMAM,AMAM,Ambrx Biopharma Inc.,2024,2024-01-08,HIGH,FALSE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=AMAM&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Ambrx%20Biopharma%20Inc.%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Ambrx%20Biopharma%20Inc.%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","""Ambrx Biopharma Inc."" ""agreement and plan of merger""","Date confirmed (2024-01-08, HIGH). Run filing collector."
RHC-0069-ACQUIRED-CBAY,CBAY,"CymaBay Therapeutics, Inc.",2024,2024-02-12,HIGH,FALSE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=CBAY&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22CymaBay%20Therapeutics%2C%20Inc.%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","https://efts.sec.gov/LATEST/search-index?q=%22CymaBay%20Therapeutics%2C%20Inc.%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","""CymaBay Therapeutics, Inc."" ""agreement and plan of merger""","Date confirmed (2024-02-12, HIGH). Run filing collector."
RHC-0070-ACQUIRED-CERE,CERE,"Cerevel Therapeutics Holdings, Inc.",2024,2023-12-07,HIGH,FALSE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=CERE&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Cerevel%20Therapeutics%20Holdings%2C%20Inc.%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Cerevel%20Therapeutics%20Holdings%2C%20Inc.%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","""Cerevel Therapeutics Holdings, Inc."" ""agreement and plan of merger""","Date confirmed (2023-12-07, HIGH). Run filing collector."
RHC-0071-ACQUIRED-DCPH,DCPH,"Deciphera Pharmaceuticals, Inc.",2024,2024-04-29,HIGH,FALSE,https://www.sec.gov/cgi-bin/browse-edgar?company=&CIK=DCPH&type=8-K&dateb=&owner=include&count=40&search_text=&action=getcompany,"https://efts.sec.gov/LATEST/search-index?q=%22Deciphera%20Pharmaceuticals%2C%20Inc.%22%20%22agreement%20and%20plan%20of%20merger%22%20%22per%20share%22&forms=8-K,SC+TO-T,SC+TO-I&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","https://efts.sec.gov/LATEST/search-index?q=%22Deciphera%20Pharmaceuticals%2C%20Inc.%22%20%22background%20of%20the%20offer%22&forms=SC+14D9,SC+14D-9&dateRange=custom&startdt=2023-01-01&enddt=2025-12-31","""Deciphera Pharmaceuticals, Inc."" ""agreement and plan of merger""","Date confirmed (2024-04-29, HIGH). Run filing collector."
